file,batch,client,product,qty,size_w,size_h,area_m2,material,flute,corr_cpm,corr_unit,pad1_unit,pad2_unit,pad_total,white_per_tonne,white_unit,print_unit,film_cpm,film_unit,subtotal_per_unit,other_cost,total_cost,contract_price,margin_pct,note
外贸评估样本-618.xls,YW-2026-4-08,匿名客户,液体农化包装评估样本-618,2520,865,603,0.5216,BC 脱敏材料配置-323,BC,2.78208,2.978851,0.356411,,0.362455,3432.0968,0.366529,0.352968,0.229802,0.35,5.002277,1.074045,6.113268,7.134048,14.8,
外贸评估样本-258.xls,YW-2026-03-14,匿名客户,液体农化包装评估样本-258,2016,865,603,0.5216,BC 脱敏材料配置-323,BC,2.816436,2.95812,0.359528,,0.360958,3452.8032,0.370178,0.43934,0.271126,0.411492,5.187323,1.077383,6.281383,7.119185,12.4,
内销评估样本-351.xls,YW-2025-12-01,大型农化客户B,液体农化包装评估样本-351,19659,1340,1081,1.4485,EB 脱敏材料配置-950,EB,3.218713,2.208243,0.350434,0.279451,0.628022,3382.6464,0.662257,0.139674,,,3.798974,,4.82948,4.165812,-15.9,
内销评估样本-899.xls,YW-2025-12-01,大型农化客户B,液体农化包装评估样本-899,4100,1340,901,1.2073,EB 脱敏材料配置-337,EB,2.853677,1.61152,0.248175,0.208165,0.456283,3431.801,0.605138,0.299931,,,3.117629,,4.084693,3.461534,-18.3,
内销评估样本-336.xls,YW-2025-12-01,大型农化客户B,液体农化包装评估样本-336,5760,1340,931,1.2475,EB 脱敏材料配置-337,EB,2.863424,1.651551,0.249425,0.211224,0.462337,3432.6314,0.604938,0.232178,,,3.114442,,4.031758,3.5301,-15.4,
内销评估样本-327.xls,YW-2025-12-01,大型农化客户B,液体农化包装评估样本-327,6060,1340,1081,1.4485,EB 脱敏材料配置-072,EB,2.401656,,,,,,,,,,,,,,,
内销评估样本-734.xls,YW-2025-12-01,大型农化客户B,液体农化包装评估样本-734,6060,1340,1081,1.4485,EB 脱敏材料配置-013,EB,2.414797,1.771153,0.322026,0.261799,0.577001,3450.1736,0.687633,0.292491,,,3.50856,,4.496614,4.130619,-9.2,
内销评估样本-433.xls,YW-2026-04-01,大型农化客户B,液体农化包装评估样本-433,17170,1340,1081,1.4485,EB 脱敏材料配置-235,EB,2.10819,1.561811,0.308066,0.26105,0.571887,3403.0095,0.663823,0.151446,,,3.101385,,3.98585,4.336282,8.5,
内销评估样本-269.xls,YW-2026-04-01,大型农化客户B,液体农化包装评估样本-269,17170,1340,1081,1.4485,EB 脱敏材料配置-235,EB,2.120706,1.537088,0.308906,0.262111,0.57505,3388.0055,0.671889,0.149562,,,3.123186,,3.98218,4.356163,8.5,
内销评估样本-110.xls,YW-2026-04-01,大型农化客户B,液体农化包装评估样本-110,17170,1340,1081,1.4485,EB 脱敏材料配置-677,EB,2.173656,1.623717,0.310698,0.260931,0.567156,3390.7676,0.664318,0.151101,,,3.168035,,4.042467,4.381495,7.1,
